longitude,latitude,LAYER,ELEVATION (FT),ELEVATION (M),HEIGHT,vegetation_height,h_conductor
-118.6730138,37.57285052,Tree,7144.556,2177.665,10.071,6.7,8
-118.6731435,37.57279292,Tree,7142.22,2176.953,9.875,8,8.9
-118.6749677,37.57277595,Tree,7155.376,2180.963,8.618,7.3,8
-118.6731983,37.57274843,Tree,7152.735,2180.158,14.019,8,8.9
-118.6738357,37.57273137,Tree,7121.213,2170.55,4.578,7.7,8.9
-118.6744784,37.57273521,Tree,7138.378,2175.782,7.053,8.3,14.3
-118.6744008,37.57272222,Tree,7139.024,2175.979,7.84,8,8.9
-118.6736681,37.57270219,Tree,7117.414,2169.392,3.755,6.1,7.2
-118.6733057,37.57269645,Tree,7197.42,2193.778,28.148,8,8.9
-118.6744792,37.57268001,Tree,7138.591,2175.847,6.735,7.7,8.9
-118.6743698,37.57265873,Tree,7132.696,2174.05,5.962,7.7,8.9
-118.6750385,37.57260606,Tree,7248.266,2209.276,32.601,8,8.9
-118.6748917,37.57255961,Tree,7198.709,2194.171,18.294,8,8.9
-118.6725607,37.57252237,Tree,7167.197,2184.566,20.32,8,8.9
-118.6750607,37.57253413,Tree,7256.472,2211.777,31.539,8.2,11
-118.675015,37.5725336,Tree,7257.285,2212.025,32.33,8.2,10.2
-118.6743399,37.57252315,Tree,7142.778,2177.123,8.64,8.3,9.5
-118.6752031,37.5724371,Tree,7251.133,2210.15,24.21,7.7,8.5
-118.6749873,37.57243424,Tree,7172.949,2186.319,4.739,7.8,8.9
-118.6750419,37.57240841,Tree,7183.755,2189.613,5.012,8,8.9
-118.674569,37.57239113,Tree,7193.368,2192.543,19.505,8.3,10
-118.6734954,37.57237705,Tree,7129.864,2173.187,8.724,6.9,8
-118.6751914,37.57239249,Tree,7248.122,2209.232,20.839,8.2,9.5
-118.6750193,37.57230804,Tree,7234.182,2204.983,19.496,8,8.9
-118.674764,37.57229506,Tree,7213.618,2198.715,19.864,8,8.9
-118.6750933,37.57227413,Tree,7241.081,2207.086,18.976,8,8.9
-118.6745255,37.57223814,Tree,7203.135,2195.52,19.268,8,8.9
-118.6751502,37.57222875,Tree,7244.648,2208.173,17.739,8,8.9
-118.6752063,37.57222139,Tree,7246.96,2208.878,17.029,8.2,11.4
-118.6743674,37.5722085,Tree,7196.616,2193.533,20.427,8,8.9
-118.6735782,37.57218698,Tree,7136.971,2175.353,10.854,7.7,8.9
-118.6726706,37.57217288,Tree,7206.052,2196.409,33.659,8,8.9
-118.6749028,37.57219822,Tree,7211.026,2197.925,13.418,8,8.9
-118.6748348,37.57218879,Tree,7210.813,2197.86,15.919,8,8.9
-118.6750251,37.57216464,Tree,7234.973,2205.224,15.807,8,8.9
-118.6747897,37.57216095,Tree,7208.362,2197.113,16.475,8,8.9
-118.6730204,37.57211459,Tree,7177.459,2187.694,24.242,8,8.9
-118.674631,37.57213088,Tree,7218.057,2200.068,22.041,8,8.9
-118.6750732,37.57210138,Tree,7226.846,2202.747,10.586,7.7,8.9
-118.6743795,37.57209135,Tree,7183.165,2189.433,17.151,8,8.9
-118.6747479,37.57208732,Tree,7184.198,2189.748,10.405,7.7,8.9
-118.6745433,37.57207562,Tree,7216.541,2199.606,23.271,8,8.9
-118.6728768,37.57205006,Tree,7162.729,2183.204,20.167,8,8.9
-118.6751898,37.57205831,Tree,7239.191,2206.51,13.115,8,8.9
-118.6750174,37.5720574,Tree,7228.45,2203.236,13.371,8,8.9
-118.674688,37.57205037,Tree,7186.734,2190.521,12.519,8.3,10.8
-118.6749405,37.57204585,Tree,7228.178,2203.153,16.846,8,8.9
-118.6752339,37.57204111,Tree,7233.834,2204.877,10.947,7.6,11.4
-118.6751322,37.57202998,Tree,7244.969,2208.271,16.378,8,8.9
-118.6746414,37.5720141,Tree,7205.688,2196.298,19.584,8,8.9
-118.6749191,37.57200152,Tree,7213.762,2198.759,13.73,8.3,11.7
-118.6725643,37.57195632,Tree,7196.924,2193.627,31.245,8,8.9
-118.6751334,37.57195003,Tree,7230.799,2203.952,12.976,8,8.9
-118.6749992,37.57193968,Tree,7219.057,2200.373,13.618,8,8.9
-118.6748976,37.57188286,Tree,7231.695,2204.225,21.393,8,8.9
-118.674726,37.57188079,Tree,7198.92,2194.235,16.735,8,8.9
-118.6725226,37.57183894,Tree,7197.547,2193.817,31.635,8,8.9
-118.675123,37.5718679,Tree,7220.235,2200.732,10.636,8,8.9
-118.6729061,37.57183429,Tree,7119.966,2170.17,7.474,7.1,7.6
-118.6752129,37.5718253,Tree,7207.502,2196.851,4.477,7.7,8.5
-118.675113,37.5718052,Tree,7230.705,2203.923,14.71,8,8.9
-118.6747283,37.57178957,Tree,7216.544,2199.607,23.632,8,8.9
-118.6743924,37.57176814,Tree,7216.337,2199.544,29.779,8,8.9
-118.674946,37.57174966,Tree,7217.472,2199.89,19.014,8.2,9.4
-118.6748464,37.5717384,Tree,7201.485,2195.017,17.194,8.3,9.5
-118.6750013,37.57172214,Tree,7219.985,2200.656,18.214,8.2,9.9
-118.6751748,37.57171585,Tree,7248.283,2209.281,21.336,8.4,10
-118.6751274,37.57168723,Tree,7246.829,2208.838,23.44,8,8.9
-118.6727883,37.57165253,Tree,7192.919,2192.406,29.582,8,8.9
-118.6752445,37.57163675,Tree,7189.031,2191.221,3.184,7.6,9.9
-118.6749949,37.57160463,Tree,7187.784,2190.841,11.797,8,8.9
-118.6751894,37.57154506,Tree,7227.197,2202.854,18.853,8,8.9
-118.6751215,37.57146389,Tree,7188.299,2190.998,11.143,8,8.9
-118.6747835,37.57143963,Tree,7199.038,2194.271,21.542,8,8.9
-118.6731638,37.57140546,Tree,7155.901,2181.123,16.602,8,8.9
-118.6751343,37.57140924,Tree,7187.357,2190.711,12.282,8,8.9
-118.6739288,37.57128237,Tree,7144.858,2177.757,10.434,6.5,8
-118.6740428,37.57115797,Tree,7174.897,2186.913,18.217,8,8.9
-118.6737312,37.57106169,Tree,7217.571,2199.92,31.874,7.8,8.9
-118.6727081,37.57103746,Tree,7184.07,2189.709,21.64,7.3,8.9
-118.6749953,37.57106922,Tree,7177.419,2187.682,13.133,7.1,7.6